Engine Speed (rpm),HC,,BIODIESEL BLEND
1500,18.2338902147971,, B100
1550,18.581175417661075,, B100
1600,19.053937947494028,, B100
1650,19.633860381861577,, B100
1700,20.30262529832937,, B100
1750,21.04191527446303,, B100
1800,21.833412887828192,, B100
1850,22.658800715990488,, B100
1900,23.499761336515544,, B100
1950,24.337977326969007,, B100
2000,25.1551312649165,, B100
2050,25.932905727923654,, B100
2100,26.65298329355611,, B100
2150,27.297046539379497,, B100
2200,27.84677804295945,, B100
2250,28.28386038186159,, B100
2300,28.589976133651568,, B100
2350,28.746807875895,, B100
2400,28.73603818615753,, B100
2450,28.539349642004787,, B100
2500,28.1384248210024,, B100
2550,27.522762529832953,, B100
2600,26.71312649164679,, B100
2650,25.73809665871123,, B100
2700,24.626252983293572,, B100
2750,23.406175417661117,, B100
2800,22.106443914081172,, B100
2850,20.75563842482103,, B100
2900,19.382338902148003,, B100
2950,18.01512529832939,, B100
3000,16.6825775656325,, B100
3050,15.413275656324627,, B100
3100,14.235799522673078,, B100
3150,13.178729116945158,, B100
3200,12.270644391408165,, B100
3250,11.540125298329404,, B100
3300,11.015751789976179,, B100
3350,10.726103818615792,, B100
3400,10.69976133651555,, B100
3450,10.965304295942754,, B100
3500,11.5513126491647,, B100
1500,26.5871121718377,, B50
1550,26.734815035799507,, B50
1600,27.173269689737438,, B50
1650,27.865662291169414,, B50
1700,28.775178997613327,, B50
1750,29.865005966587066,, B50
1800,31.098329355608552,, B50
1850,32.43833532219567,, B50
1900,33.84821002386631,, B50
1950,35.29113961813838,, B50
2000,36.7303102625298,, B50
2050,38.128908114558435,, B50
2100,39.450119331742215,, B50
2150,40.65713007159901,, B50
2200,41.713126491646754,, B50
2250,42.58129474940333,, B50
2300,43.22482100238662,, B50
2350,43.60689140811454,, B50
2400,43.690692124105006,, B50
2450,43.43940930787589,, B50
2500,42.816229116945095,, B50
2550,41.800387828162286,, B50
2600,40.43532219570405,, B50
2650,38.78051909307874,, B50
2700,36.89546539379474,, B50
2750,34.839647971360364,, B50
2800,32.67255369928399,, B50
2850,30.45366945107396,, B50
2900,28.242482100238636,, B50
2950,26.098478520286363,, B50
3000,24.081145584725498,, B50
3050,22.249970167064404,, B50
3100,20.664439140811417,, B50
3150,19.384039379474906,, B50
3200,18.46825775656321,, B50
3250,17.97658114558469,, B50
3300,17.9684964200477,, B50
3350,18.50349045346059,, B50
3400,19.641050119331723,, B50
3450,21.440662291169442,, B50
3500,23.9618138424821,, B50
1500,16.9212410501193,, B30
1550,17.555742840095448,, B30
1600,18.37374701670643,, B30
1650,19.349030429594272,, B30
1700,20.455369928400966,, B30
1750,21.666542362768517,, B30
1800,22.95632458233893,, B30
1850,24.29849343675421,, B30
1900,25.66682577565636,, B30
1950,27.035098448687386,, B30
2000,28.3770883054893,, B30
2050,29.666572195704095,, B30
2100,30.877326968973783,, B30
2150,31.983129474940366,, B30
2200,32.95775656324586,, B30
2250,33.77498508353226,, B30
2300,34.40859188544156,, B30
2350,34.832353818615786,, B30
2400,35.02004773269693,, B30
2450,34.945450477327,, B30
2500,34.582338902148,, B30
2550,33.91543854415278,, B30
2600,32.973269689737506,, B30
2650,31.7953013126492,, B30
2700,30.42100238663488,, B30
2750,28.889841885441566,, B30
2800,27.24128878281627,, B30
2850,25.514812052506,, B30
2900,23.74988066825779,, B30
2950,21.985963603818654,, B30
3000,20.262529832935602,, B30
3050,18.619048329355646,, B30
3100,17.094988066825813,, B30
3150,15.729818019093116,, B30
3200,14.563007159904569,, B30
3250,13.634024463007185,, B30
3300,12.982338902147994,, B30
3350,12.647419451074,, B30
3400,12.668735083532226,, B30
3450,13.085754773269688,, B30
