X,Y,GROUP,BIODIESEL_BLEND
3500,124.027459954233,0, B100
3500,129.954233409611,0, B50
3500,132.837528604119,0, B30
3500,133.95881006865,0, B20
3500,135.881006864989,0, B10
3500,137.963386727689,0, B00
3000,118.741418764302,1, B100
3000,124.828375286041,1, B50
3000,127.871853546911,1, B30
3000,129.473684210526,1, B20
3000,132.036613272311,1, B10
3000,134.759725400458,1, B00
3000,109.771167048055,2, B100
2500,113.775743707094,2, B50
2500,116.819221967963,2, B30
2500,119.702517162471,2, B20
2500,122.906178489703,2, B10
2500,124.988558352403,2, B00
2000,119.862700228833,3, B100
2000,127.871853546911,3, B50
2000,132.036613272311,3, B30
2000,136.04118993135,3, B20
2000,137.643020594966,3, B10
2000,139.885583524028,3, B00
1500,144.851258581236,4, B100
1500,149.977116704805,4, B50
1500,153.981693363844,4, B30
1500,156.864988558352,4, B20
1500,160.068649885584,4, B10
1500,165.194508009153,4, B00
