X,Y,GROUP,BIODIESEL_BLEND
3500,299.944134078212,0, B100
3500,270.148975791434,0, B50
3500,260.093109869646,0, B30
3500,291.750465549348,0, B20
3500,235.512104283054,0, B10
3500,215.027932960894,0, B00
3000,265.307262569832,1, B100
3000,229.925512104283,1, B50
3000,225.083798882682,1, B30
3000,250.037243947858,1, B20
3000,200.502793296089,1, B10
3000,170.335195530726,1, B00
2500,228.063314711359,2, B100
2500,200.130353817505,2, B50
2500,180.018621973929,2, B30
2500,220.24208566108,2, B20
2500,168.472998137803,2, B10
2500,150.223463687151,2, B00
2000,190.446927374302,3, B100
2000,169.590316573557,3, B50
2000,165.12104283054,3, B30
2000,180.018621973929,3, B20
2000,150.223463687151,3, B10
2000,134.953445065177,3, B00
1500,175.549348230912,4, B100
1500,159.906890130354,4, B50
1500,152.085661080074,4, B30
1500,169.962756052142,4, B20
1500,145.381750465549,4, B10
1500,130.48417132216,4, B00
