X,Y,GROUP,BIODIESEL_BLEND
3500,340.687361419069,0, B100
3500,328.270509977827,0, B50
3500,320.288248337029,0, B30
3500,314.966740576497,0, B20
3500,306.09756097561,0, B10
3500,299.889135254989,0, B00
3000,286.585365853659,1, B100
3000,270.177383592018,1, B50
3000,260.421286031042,1, B30
3000,250.665188470067,1, B20
3000,242.682926829268,1, B10
3000,240.909090909091,1, B00
2500,274.168514412417,2, B100
2500,250.221729490022,2, B50
2500,240.465631929047,2, B30
2500,230.709534368071,2, B20
2500,220.066518847007,2, B10
2500,216.518847006652,2, B00
2000,259.534368070953,3, B100
2000,238.248337028825,3, B50
2000,215.188470066519,3, B30
2000,199.223946784922,3, B20
2000,190.354767184035,3, B10
2000,185.033259423503,3, B00
1500,233.813747228381,4, B100
1500,215.188470066519,4, B50
1500,192.128603104213,4, B30
1500,186.807095343681,4, B20
1500,180.155210643016,4, B10
1500,175.277161862528,4, B00
