X,Y,GROUP,BIODIESEL_BLEND
3500,4.00835073068894,0, B100
3500,5.38622129436326,0, B50
3500,4.21711899791232,0, B30
3500,4.78079331941545,0, B20
3500,3.90396659707724,0, B10
3500,5.82463465553236,0, B00
3000,4.40501043841336,1, B100
3000,6.0125260960334,1, B50
3000,5.09394572025052,1, B30
3000,4.98956158663883,1, B20
3000,5.15657620041754,1, B10
3000,7.20250521920668,1, B00
2500,4.80167014613779,2, B100
2500,7.80793319415449,2, B50
2500,5.80375782881002,2, B30
2500,6.38830897703549,2, B20
2500,5.01043841336117,2, B10
2500,8.81002087682672,2, B00
2000,4.21711899791232,3, B100
2000,6.40918580375783,3, B50
2000,4.98956158663883,3, B30
2000,5.19832985386221,3, B20
2000,4.40501043841336,3, B10
2000,7.55741127348643,3, B00
1500,3.50730688935282,4, B100
1500,5.4070981210856,4, B50
1500,3.50730688935282,4, B30
1500,5.11482254697286,4, B20
1500,3.31941544885177,4, B10
1500,6.40918580375783,4, B00
