X,Y,GROUP,BIODIESEL_BLEND
3500,72.9769392033543,0, B100
3500,83.0398322851153,0, B50
3500,88.0712788259958,0, B30
3500,89.916142557652,0, B20
3500,98.1341719077568,0, B10
3500,99.979035639413,0, B00
3000,64.7589098532495,1, B100
3000,69.958071278826,1, B50
3000,73.8155136268344,1, B30
3000,75.8280922431866,1, B20
3000,79.853249475891,1, B10
3000,85.0524109014675,1, B00
2500,69.79035639413,2, B100
2500,78.8469601677149,2, B50
2500,82.0335429769392,2, B30
2500,84.8846960167715,2, B20
2500,88.9098532494759,2, B10
2500,98.9727463312369,2, B00
2000,74.8218029350105,3, B100
2000,88.0712788259958,3, B50
2000,93.9412997903564,3, B30
2000,99.979035639413,3, B20
2000,110.041928721174,3, B10
2000,115.073375262055,3, B00
1500,79.853249475891,4, B100
1500,90.083857442348,4, B50
1500,99.979035639413,4, B30
1500,109.706498951782,4, B20
1500,114.905660377358,4, B10
1500,119.937106918239,4, B00
