X,Y,GROUP,BIODIESEL_BLEND
3500,3.60756501182033,0, B100
3500,4.30260047281324,0, B50
3500,5.11347517730497,0, B30
3500,3.85579196217494,0, B20
3500,5.60992907801418,0, B10
3500,6.02364066193853,0, B00
3000,2.87943262411348,1, B100
3000,3.3096926713948,1, B50
3000,3.80614657210402,1, B30
3000,2.99527186761229,1, B20
3000,4.50118203309693,1, B10
3000,4.91489361702128,1, B00
2500,1.88652482269504,2, B100
2500,2.20094562647754,2, B50
2500,2.59810874704492,2, B30
2500,2.00236406619385,2, B20
2500,3.21040189125295,2, B10
2500,3.70685579196217,2, B00
2000,0.910165484633571,3, B100
2000,1.19148936170213,3, B50
2000,1.5886524822695,3, B30
2000,1.07565011820331,3, B20
2000,2.21749408983452,3, B10
2000,2.4822695035461,3, B00
1500,0.877068557919622,4, B100
1500,1.05910165484634,4, B50
1500,1.07565011820331,4, B30
1500,1.00945626477541,4, B20
1500,1.29078014184397,4, B10
1500,1.43971631205674,4, B00
