Engine Speed (rpm),Nitrogen Oxides,BIODIESEL_BLEND,Oxide_of_nitrogen,BIODIESEL BLEND
1500,,,15.1293103448276, B100
1550,,,16.297968750000003, B100
1600,,,17.42017241379309, B100
1650,,,18.49892780172412, B100
1700,,,19.53724137931032, B100
1750,,,20.538119612068936, B100
1800,,,21.504568965517215, B100
1850,,,22.439595905172393, B100
1900,,,23.3462068965517, B100
1950,,,24.22740840517239, B100
2000,,,25.086206896551705, B100
2050,,,25.92560883620688, B100
2100,,,26.748620689655162, B100
2150,,,27.55824892241379, B100
2200,,,28.3575, B100
2250,,,29.14938038793104, B100
2300,,,29.936896551724157, B100
2350,,,30.72305495689657, B100
2400,,,31.510862068965544, B100
2450,,,32.3033243534483, B100
2500,,,33.10344827586211, B100
2550,,,33.91420797413796, B100
2600,,,34.738448275862105, B100
2650,,,35.57898168103451, B100
2700,,,36.4386206896552, B100
2750,,,37.320177801724164, B100
2800,,,38.2264655172414, B100
2850,,,39.16029633620692, B100
2900,,,40.124482758620715, B100
2950,,,41.121837284482766, B100
3000,,,42.15517241379311, B100
3050,,,43.227300646551726, B100
3100,,,44.34103448275862, B100
3150,,,45.49918642241379, B100
3200,,,46.70456896551724, B100
3250,,,47.95999461206895, B100
3300,,,49.26827586206895, B100
3350,,,50.63222521551722, B100
3400,,,52.05465517241377, B100
3450,,,53.5383782327586, B100
3500,,,55.0862068965517, B100
1500,,,15.1293103448276, B50
1550,,,15.970522629310338, B50
1600,,,16.798448275862047, B50
1650,,,17.613701508620654, B50
1700,,,18.416896551724097, B50
1750,,,19.208647629310295, B50
1800,,,19.989568965517194, B50
1850,,,20.76027478448271, B50
1900,,,21.521379310344777, B50
1950,,,22.273496767241333, B50
2000,,,23.0172413793103, B50
2050,,,23.75322737068962, B50
2100,,,24.48206896551721, B50
2150,,,25.20438038793101, B50
2200,,,25.920775862068954, B50
2250,,,26.631869612068954, B50
2300,,,27.338275862068965, B50
2350,,,28.0406088362069, B50
2400,,,28.7394827586207, B50
